,homograph,simalign_fr,fr-label,en,fr,inter_align
0,use,recourent,use_vrb,"['People', 'who', 'for', 'ideological', 'or', 'other', 'reasons', 'use', 'or', 'threaten', 'violence', 'are', 'defined', 'as', 'terrorists', 'under', 'the', 'legislation', 'of', 'many', 'countries', '.', '']","['', 'Ceux', 'qui', ',', 'pour', 'des', 'raisons', 'idéologiques', 'ou', 'autres', ',', 'recourent', 'ou', 'menacent', 'de', 'recourir', 'à', 'la', 'violence', 'sont', 'définis', 'comme', 'des', 'terroristes', 'par', 'la', 'législation', 'de', 'nombreux', 'pays', '.\n']","[(0, 1), (1, 2), (2, 4), (3, 7), (4, 8), (5, 9), (6, 6), (7, 11), (8, 12), (9, 13), (10, 18), (11, 19), (12, 20), (13, 21), (14, 23), (15, 24), (16, 25), (17, 26), (18, 27), (19, 28), (20, 29), (21, 30)]"
1,present,présentera,present_vrb,"['As', 'far', 'as', 'possible', ',', 'the', 'Commission', 'will', 'present', 'a', 'proposal', 'in', 'this', 'regard', '.', '']","['', 'Lorsque', 'ce', 'sera', 'possible', ',', 'la', 'Commission', 'présentera', 'une', 'proposition', 'en', 'ce', 'sens', '.\n']","[(0, 1), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 8), (9, 9), (10, 10), (11, 11), (12, 12), (13, 13), (14, 14)]"
2,reading,lecture,reading_en,"['The', 'next', 'item', 'is', 'the', 'recommendation', 'for', 'second', 'reading', ',', 'on', 'behalf', 'of', 'the', 'Committee', 'on', 'Culture', 'and', 'Education', ',', 'on', 'the', 'Council', 'common', 'position', '(', '06236/3/2006', 'C6', '-', '0273/2006', 'for', 'adopting', 'a', 'decision', 'of', 'the', 'European', 'Parliament', 'and', 'of', 'the', 'Council', 'creating', 'the', ""'"", 'Youth', 'in', 'Action', ""'"", 'programme', 'for', 'the', 'period', '2007', '-', '2013', '(', 'Rapporteur', ':', 'Mrs', 'Gröner', ')', '.', '']","['', ""L'"", 'ordre', 'du', 'jour', 'appelle', 'la', 'recommandation', 'pour', 'la', 'deuxième', 'lecture', ',', 'au', 'nom', 'de', 'la', 'commission', 'de', 'la', 'culture', 'et', 'de', ""l'"", 'éducation', ',', 'sur', 'la', 'position', 'commune', 'du', 'Conseil', 'en', 'vue', 'de', ""l'"", 'adoption', 'de', 'la', 'décision', 'du', 'Parlement', 'européen', 'et', 'du', 'Conseil', 'établissant', 'le', 'programme', '""', 'Jeunesse', 'en', 'action', '""', 'pour', 'la', 'période', '2007-', '2013', '[', '06236/3/2006', '-', 'C6', '-', '0273/2006', '-', '(', 'Rapporteur', ':', 'Mme', 'Gröner', ')', '.\n']","[(0, 1), (3, 5), (4, 6), (5, 7), (6, 8), (7, 10), (8, 11), (9, 12), (10, 13), (11, 14), (12, 15), (13, 16), (14, 17), (15, 18), (16, 20), (17, 21), (18, 24), (19, 25), (20, 26), (21, 27), (22, 31), (24, 28), (25, 59), (26, 60), (27, 62), (28, 63), (29, 64), (31, 36), (31, 46), (32, 38), (33, 39), (34, 40), (36, 42), (37, 41), (38, 43), (39, 44), (41, 45), (42, 46), (43, 47), (44, 49), (45, 50), (46, 51), (47, 52), (48, 53), (49, 48), (50, 54), (51, 55), (52, 56), (53, 57), (54, 57), (55, 58), (56, 66), (57, 67), (58, 68), (59, 69), (60, 70), (61, 71), (62, 72)]"
3,present,présenter,present_vrb,"['Finally', ',', 'I', 'would', 'ask', 'the', 'Commission', 'to', 'present', 'these', 'proposals', 'as', 'soon', 'as', 'possible', '.', '']","['', 'Enfin', ',', 'je', 'voudrais', 'inviter', 'la', 'Commission', 'à', 'présenter', 'ces', 'propositions', 'aussi', 'rapidement', 'que', 'possible', '.\n']","[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16)]"
4,present,présent,present_adj-nou,"['I', 'am', 'also', 'very', 'glad', 'to', 'see', 'that', 'the', 'present', 'text', 'incorporates', 'Amendment', '18', ',', 'which', 'explicitly', 'states', 'that', 'the', 'objections', 'of', 'citizens', 'in', 'countries', 'like', 'France', 'and', 'the', 'Netherlands', 'must', 'be', 'met', 'halfway', '.', '']","['', 'J’', 'apprécie', 'également', 'beaucoup', 'le', 'fait', 'que', 'le', 'présent', 'texte', 'incorpore', 'l’', 'amendement', '18', 'qui', 'déclare', 'explicitement', 'que', 'les', 'objections', 'des', 'citoyens', 'de', 'pays', 'comme', 'la', 'France', 'et', 'les', 'Pays', '-', 'Bas', 'doivent', 'faire', 'l’', 'objet', 'de', 'compromis', '.\n']","[(0, 1), (1, 2), (2, 3), (3, 4), (4, 2), (6, 6), (7, 7), (8, 8), (9, 9), (10, 10), (11, 11), (12, 13), (13, 14), (15, 15), (16, 17), (17, 16), (18, 18), (19, 19), (20, 20), (21, 21), (22, 22), (24, 24), (25, 25), (26, 27), (27, 28), (28, 29), (29, 32), (30, 33), (33, 38), (34, 39)]"
5,produce,produire,produce_vrb,"['We', 'have', 'to', 'keep', 'an', 'eye', 'on', 'the', 'market', ',', 'we', 'have', 'to', 'produce', 'for', 'the', 'market', ',', 'and', 'we', 'have', 'to', 'penetrate', 'the', 'market', 'with', 'top', '-', 'quality', 'products', '.', '']","['', 'Nous', 'devons', 'rester', 'attentifs', 'au', 'marché', ',', 'produire', 'pour', 'ce', 'dernier', 'et', 'y', 'pénétrer', 'en', 'proposant', 'des', 'produits', 'de', 'la', 'meilleure', 'qualité', '.\n']","[(0, 1), (2, 2), (3, 3), (4, 4), (7, 5), (8, 6), (9, 7), (13, 8), (14, 9), (18, 12), (22, 14), (26, 21), (28, 22), (29, 18), (30, 23)]"
6,lead,traduire,lead_nou-vrb,"['Parliament', 'confirms', 'through', 'this', 'report', 'a', 'common', 'viewpoint', ',', 'which', 'is', 'that', 'any', 'commercial', 'element', 'in', 'this', 'process', 'which', 'may', 'lead', 'to', 'the', 'sale', 'and', 'purchase', 'of', 'organs', 'is', 'illegal', '.', '']","['', 'Ce', 'rapport', 'du', 'Parlement', 'confirme', 'notre', 'opinion', 'commune', ',', 'à', 'savoir', 'que', 'cette', 'procédure', 'doit', 'être', 'dénuée', ',', 'sous', 'peine', ""d'"", 'illégalité', ',', 'de', 'tout', 'élément', 'commercial', 'pouvant', 'se', 'traduire', 'par', 'la', 'vente', 'ou', ""l'"", 'achat', ""d'"", 'organes', '.\n']","[(0, 4), (1, 5), (3, 1), (4, 2), (5, 6), (6, 8), (7, 7), (8, 9), (9, 10), (10, 11), (11, 12), (12, 25), (13, 27), (14, 26), (16, 13), (17, 14), (19, 28), (20, 30), (21, 31), (22, 32), (23, 33), (24, 34), (25, 36), (26, 37), (27, 38), (28, 15), (29, 22), (30, 39)]"
7,close,combler,close_vrb,"['My', 'group', 'welcomes', 'this', 'week', ""'s"", 'decision', 'by', 'finance', 'ministers', 'to', 'refocus', 'the', 'growth', 'initiative', 'away', 'from', 'road', 'and', 'rail', 'projects', 'and', 'towards', 'investment', 'in', 'innovation', 'which', 'will', 'help', 'to', 'close', 'Europe', ""'s"", 'research', 'deficit', '.', '']","['', 'Mon', 'groupe', 'se', 'réjouit', 'de', 'la', 'décision', 'arrêtée', 'cette', 'semaine', 'par', 'les', 'ministres', 'des', 'finances', 'de', 'réorienter', 'l’', 'initiative', 'pour', 'la', 'croissance', ',', 'en', 'se', 'détournant', 'des', 'projets', 'routiers', 'et', 'ferroviaires', ',', 'au', 'profit', 'des', 'investissements', 'dans', 'l’', 'innovation', 'qui', 'contribueront', 'à', 'combler', 'le', 'déficit', 'de', 'recherche', 'de', 'l’', 'Europe', '.\n']","[(0, 1), (1, 2), (2, 4), (3, 9), (4, 10), (6, 7), (7, 11), (8, 15), (9, 13), (10, 16), (11, 17), (12, 18), (13, 22), (14, 19), (16, 27), (17, 29), (18, 30), (19, 31), (20, 28), (21, 32), (22, 35), (23, 36), (24, 37), (25, 39), (26, 40), (27, 41), (28, 41), (29, 42), (30, 43), (31, 50), (32, 44), (33, 47), (34, 45), (35, 51)]"
8,produce,produisent,produce_vrb,"['I', 'know', 'that', 'the', 'same', 'causes', 'always', 'produce', 'the', 'same', 'effects', ';', 'there', 'are', 'ethnic', 'conflicts', 'because', 'the', 'boundaries', 'we', 'marked', 'out', 'were', 'often', 'artificial', 'boundaries', '.', '']","['', 'Je', 'sais', 'bien', 'que', 'les', 'mêmes', 'causes', 'produisent', 'toujours', 'les', 'mêmes', 'effets', ';', 'il', 'y', 'a', 'quand', 'même', 'des', 'conflits', 'ethniques', 'parce', 'que', 'les', 'frontières', 'que', 'nous', 'avons', 'tracées', 'ont', 'souvent', 'été', 'des', 'frontières', 'artificielles', '.\n']","[(0, 1), (1, 2), (2, 4), (3, 5), (4, 6), (5, 7), (6, 9), (7, 8), (8, 10), (9, 11), (10, 12), (11, 13), (12, 14), (13, 16), (15, 20), (16, 22), (17, 24), (18, 25), (19, 27), (20, 29), (21, 29), (22, 32), (23, 31), (24, 35), (25, 34), (26, 36)]"
9,lives,vies,lives_nou,"['Secure', 'supplies', 'of', 'blood', 'products', 'save', 'lives', 'and', 'must', 'therefore', 'be', 'given', 'absolute', 'priority', '.', '']","['', 'Un', 'approvisionnement', 'sûr', 'en', 'produits', 'sanguins', 'sauve', 'des', 'vies', 'et', 'doit', 'par', 'conséquent', 'jouir', ""d'"", 'une', 'priorité', 'absolue', '!\n']","[(0, 1), (2, 4), (3, 6), (4, 6), (5, 7), (6, 9), (7, 10), (8, 11), (9, 13), (12, 18), (13, 17), (14, 19)]"
