homograph	selected_wordid	sentence	WHD_IPA_representations	auto-IPA
bow	bow_nou-knot	For me I would much rather have a bow anytime	['boʊ' 'baʊ']	bo
bow	bow_nou-knot	You know I have done some bow hunting	['boʊ' 'baʊ']	bo
close	close_vrb	But to me Texas see and Kentucky we had to have ice on the ground for them to close school	['kloʊs' 'kloʊz']	klos
close	close_vrb	And uh I just close it out I guess	['kloʊs' 'kloʊz']	kloz
close	close_vrb	Well if they close it in see we  have the best of both worlds then as they  talking about doing	['kloʊs' 'kloʊz']	klos
close	close_vrb	In Texas I m serious if it gets cold and it looks like it s going to rain I i swear they close everything down	['kloʊs' 'kloʊz']	klos
close	close_vrb	But but supposedly once you have an office in d c or you know and and staff it with people it s really tough to close it down	['kloʊs' 'kloʊz']	kloz
close	close_vrb	I love to just lay back on the couch and and turn a good good instrumental on and just close my eyes and listen	['kloʊs' 'kloʊz']	kloz
close	close_vrb	Like if I if I put her in a room all by herself and close the door and leave her there for a few hours uh because I was going out she would uh break something or rip up the carpet or do something just to uh to to let me know that she was unhappy with what I did	['kloʊs' 'kloʊz']	kloz
decrease	decrease_nou	Uh I guess the other thing was that are causing a lot of the crime now is the decrease in values	"['diːˌkɹiːs' ""də'kɹiːs""]"	ˈdiˌkris
duplicate	duplicate_adj-nou	And I do n't know why we could n't have duplicate voting on some of this	['duːpləkət' 'duːpləkˌeɪt']	ˈduplʌkʌt
graduate	graduate_vrb	Uh as a course for p e you know so I could graduate	['ɡɹæˌʤuːət' 'ɡɹæˌʤuːˌeɪt']	ˈgrædʒuˌet
graduate	graduate_vrb	So uh uh you know did you graduate from purdue	['ɡɹæˌʤuːət' 'ɡɹæˌʤuːˌeɪt']	ˈgrædʒuˌet
graduate	graduate_vrb	Uh I have two that are uh now just about ready to graduate from college	['ɡɹæˌʤuːət' 'ɡɹæˌʤuːˌeɪt']	ˈgrædʒuˌet
graduate	graduate_vrb	Did you graduate in a certain field	['ɡɹæˌʤuːət' 'ɡɹæˌʤuːˌeɪt']	ˈgrædʒuˌet
graduate	graduate_vrb	And it said that uh like thirty four percent of uh college students actually graduate in four years from a four year program	['ɡɹæˌʤuːət' 'ɡɹæˌʤuːˌeɪt']	ˈgrædʒuˌet
graduate	graduate_vrb	I m about to graduate from college	['ɡɹæˌʤuːət' 'ɡɹæˌʤuːˌeɪt']	ˈgrædʒuˌet
graduate	graduate_vrb	But so how long ago did you graduate	['ɡɹæˌʤuːət' 'ɡɹæˌʤuːˌeɪt']	ˈgrædʒuˌet
graduate	graduate_vrb	And what did you graduate in	['ɡɹæˌʤuːət' 'ɡɹæˌʤuːˌeɪt']	ˈgrædʒuˌet
graduate	graduate_vrb	But uh but uh certainly before that there were people that you know would graduate from high school and could barely read	['ɡɹæˌʤuːət' 'ɡɹæˌʤuːˌeɪt']	ˈgrædʒuˌet
graduate	graduate_vrb	Uh we just came back from uh uh grand rapids where we saw one of our sons graduate from uh with his master s degree in social work	['ɡɹæˌʤuːət' 'ɡɹæˌʤuːˌeɪt']	ˈgrædʒuˌet
graduate	graduate_vrb	 actually I m I m I m more interested in in in choosing the right j job when you graduate type information	['ɡɹæˌʤuːət' 'ɡɹæˌʤuːˌeɪt']	ˈgrædʒuˌet
graduate	graduate_vrb	And one of the plano school district s you know goals is that they will graduate every child that uh that is here in the ninth grade	['ɡɹæˌʤuːət' 'ɡɹæˌʤuːˌeɪt']	ˈgrædʒuˌet
graduate	graduate_vrb	I plan on getting back once I graduate next weekend	['ɡɹæˌʤuːət' 'ɡɹæˌʤuːˌeɪt']	ˈgrædʒuˌet
increase	increase_vrb	And I think one of the big things that you can do is to increase deterrence is uh if someone is found guilty of a uh felony level offense they lose their citizenship	"['ɪnˌkɹiːs' ""ən'kɹiːs""]"	ɪˈnkris
increase	increase_vrb	I think your patient level must needs to increase as the child gets older	"['ɪnˌkɹiːs' ""ən'kɹiːs""]"	ɪˈnkris
increase	increase_vrb	And that actually um as our population increases and you know our of course our our cars you know our number of cars increase per the population that s the problem	"['ɪnˌkɹiːs' ""ən'kɹiːs""]"	ˈɪˌnkris
increase	increase_vrb	And I am making every effort to to put a little bit away and increase the amount that I need for a down payment or whatever	"['ɪnˌkɹiːs' ""ən'kɹiːs""]"	ɪˈnkris
increase	increase_vrb	People would rather uh increase the fire department and cut down the schools because it means more to them	"['ɪnˌkɹiːs' ""ən'kɹiːs""]"	ɪˈnkris
increase	increase_vrb	And then they just keep wanting you to increase your limit	"['ɪnˌkɹiːs' ""ən'kɹiːs""]"	ɪˈnkris
increase	increase_vrb	And that s probably going to increase you know	"['ɪnˌkɹiːs' ""ən'kɹiːs""]"	ˈɪˌnkris
initiate	initiate_vrb	But they  they  supposed to initiate that some sometime in the next couple of months	"[""ə'nɪˌʃiːət"" ""ˌɪ'nɪˌʃiːˌeɪt""]"	ɪˈnɪʃiˌet
initiate	initiate_vrb	And uh I think that was a big stepping stone for them to initiate all their righteous ways of changing things too	"[""ə'nɪˌʃiːət"" ""ˌɪ'nɪˌʃiːˌeɪt""]"	ɪˈnɪʃiˌet
invite	invite_vrb	Was it hard to decide who to invite and who not to invite	"['ɪnˌvaɪt' ""ən'vaɪt""]"	ɪˈnvaɪt
invite	invite_vrb	And nor and they  doing something that normally I really only invite people to	"['ɪnˌvaɪt' ""ən'vaɪt""]"	ɪˈnvaɪt
invite	invite_vrb	Was it hard to decide who to invite and who not to invite	"['ɪnˌvaɪt' ""ən'vaɪt""]"	ɪˈnvaɪt
lead	lead_nou-vrb	They need to have some some young guys that can take the lead	['lɛd' 'liːd']	lid
lead	lead_nou-vrb	I guess right now what they  what they  primarily worried about is third world countries because I guess united states and and Russia have kind of taken the lead in terms of eliminating c f c production	['lɛd' 'liːd']	lid
lead	lead_nou-vrb	And I mean I think that what this is going to lead to is people will take things into their own hands and that innocent people	['lɛd' 'liːd']	lid
lead	lead_nou-vrb	But uh a and occasionally I i pick up like time magazine or something I think uh if they  got an interesting lead story	['lɛd' 'liːd']	lid
lead	lead_nou-vrb	Well and sometimes that s this is just the lead in to a sales pitch too	['lɛd' 'liːd']	lid
lead	lead_nou-vrb	Why I i m I m a little concerned about today is that this uh rather uh quick and and easy I do n't know I should n't say easy rather quick victory in the in in the uh  uh uh over the uh  uh might lead us into uh a false sense of security that we can do that against any other foe	['lɛd' 'liːd']	lid
lead	lead_nou-vrb	You know it s too bad that uh it has to be a forty two year old guy to to lead the uh the rangers you know	['lɛd' 'liːd']	lid
lead	lead_nou-vrb	I think that uh my own interest in in development human development leads me to believe that that s a good sign and that uh private enterprise is the way to go and that it will lead to a fundamental change in the way we learn	['lɛd' 'liːd']	lid
lead	lead_nou-vrb	It s a story of all the politics and uh lobbying and just basically state by state events that lead to the events that brought about the civil war	['lɛd' 'liːd']	lɛd
lives	lives_nou	Family and friends are usually well family s tied up with their own lives and things and usually working	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	As the situation is so sad because it just takes all the dignity away from from people who have been independent all their lives	['laɪvz' 'lɪvz']	laɪvz
lives	lives_nou	I refused to cram their lives full	['laɪvz' 'lɪvz']	laɪvz
