homograph	wordid	sentence	start	end	orig_idx
aged	aged	He then become the youngest diocesan bishop in the Church of England, aged 48.	70.0	74.0	489.0
aged	aged	Kelly died aged 88 in New York.	11.0	15.0	537.0
aged	aged	He died at his residence in Upper Wimpole Street, London, 28 September 1831, aged 69.	77.0	81.0	499.0
aged	aged	Toward the beginning of 1993, Puccio (aged 20) began dating Lisa Connelly (aged 18).	75.0	79.0	11493.0
aged	aged	Amongst them are Lance Corporal John Murdoch Dirom who was killed during preparations for Operation Overlord in 1944 aged 22.	117.0	121.0	481.0
aged	aged	He died in Claremont, California aged 82.	33.0	37.0	468.0
aged	aged	Ottey failed by 0.28 seconds to reach her eighth Olympic Games, aged 48 in 2008.	64.0	68.0	11488.0
aged	aged	He enlisted as a soldier aged 15, and later led China's navy.	25.0	29.0	504.0
aged	aged	It had mandatory membership for all male full-aged citizens of the Protectorate.	46.0	50.0	482.0
aged	aged	He died in Graz, Styria, aged 73.	25.0	29.0	513.0
aged	aged_adj	On 2 August 1934, the aged President von Hindenberg died.	22.0	26.0	466.0
aged	aged	Brody died in Valletta on 3 June 1995, aged 94.	39.0	43.0	519.0
aged	aged	He started bowling aged 14 and made his international debut in 1965.	19.0	23.0	495.0
aged	aged	The oldest was Servite Sister Aurora Lopez Gonzalez, was executed aged 86.	66.0	70.0	500.0
aged	aged	He died aged 89, in the Hopital Pasteur in Paris.	8.0	12.0	471.0
aged	aged_adj	And I aged ten years			
aged	aged	He died on 5 April 1908 aged 74.	24.0	28.0	517.0
aged	aged	She died in New York City in 2002, aged 83.	35.0	39.0	515.0
aged	aged	The middle-aged Yakuza finds that his partner has stolen his boss's money to pay for an operation for his daughter.	11.0	15.0	458.0
aged	aged	Johanna Beatrix died in Brno aged 51.	29.0	33.0	469.0
aged	aged	Kellaway died on 13 April 1933, aged 62, and is buried in St Mary's Churchyard, Tatsfield, Surrey.	32.0	36.0	534.0
aged	aged	Eddie Constantine died of a heart attack on February 25, 1993, aged 75.	63.0	67.0	539.0
aged	aged	Approximately 2.4 million adolescents aged 16 to 17 years worked in the U.S. in 2006.	38.0	42.0	479.0
aged	aged	Fane died on 13 December 2009, aged 82.	31.0	35.0	11491.0
aged	aged	Those who are affected, which by an overwhelming amount, are middle-to-older-aged women, are not born latah.	77.0	81.0	449.0
aged	aged	His wife died in 1897, and Holmes died on 27 September 1901 aged 84.	60.0	64.0	480.0
aged	aged	They honour outstanding achievement by young people aged between 11 and 20.	52.0	56.0	525.0
aged	aged	The effective literacy rate (i.e. the literacy rate of population excluding children aged 6 and below) is 62.16%.	85.0	89.0	11496.0
aged	aged	He was first arrested aged 14, and in 1973 he was again arrested and interned in Long Kesh until 1974.	22.0	26.0	536.0
aged	aged	He died of lung cancer in Grimsby in 1960, aged 38.	43.0	47.0	455.0
aged	aged	Bouverie died on 19 May 1717, aged sixty, and was buried at St Catherine Cree.	30.0	34.0	521.0
aged	aged	Following a fall at his home and a subsequent operation, Chapman died in 1961, aged 61.	79.0	83.0	462.0
aged	aged	Porter died suddenly aged 78 at his Dublin home on 12 September 1944 of heart failure.	21.0	25.0	490.0
aged	aged	He died aged 57 on 11 December 1950 after a series of strokes.	8.0	12.0	464.0
aged	aged	He was aged 21, the youngest candidate in the country.	7.0	11.0	532.0
aged	aged	The program was intended to provide the United States with temporary workers while many working-aged men were away at war.	96.0	100.0	477.0
aged	aged	The wine must have a minimum alcohol level of 16% and be aged for at least 3 years.	57.0	61.0	526.0
aged	aged	As can be seen by the graph, the majority of people, 44 people, are aged between 45 and 54.	68.0	72.0	509.0
aged	aged	Bouie died aged 83 in June 2011 following a long illness.	11.0	15.0	11492.0
aged	aged	In 1805, aged 18, he moved to Batavia, New York with his parents.	9.0	13.0	514.0
aged	aged	He ended his playing career aged-39 as a player-coach at Llantwit Major RFC as a Fly-half.	28.0	32.0	506.0
aged	aged	It provides a non-auditioning classical music provider for young people aged ten to 19.	72.0	76.0	533.0
aged	aged	He died on 20 January 2012, aged 77.	28.0	32.0	472.0
aged	aged	Choirgirl aged 12 to sign record dealMateus, Joana, Associated Press (14 September 2010).	10.0	14.0	456.0
aged	aged	She died at 10 p.m. on February 14, 1971, aged 59, at her Miami Beach home.	42.0	46.0	524.0
aged	aged	Ian Bedford, aged seventeen, made his debut and took twelve wickets in his first two matches.	13.0	17.0	523.0
aged	aged	Maxime Leconte, aged 21, had been living in London for a few months prior the show.	16.0	20.0	503.0
aged	aged	Menadue's first wife Cynthia née Trowbridge died of cancer in 1984 aged 49.	67.0	71.0	511.0
aged	aged	He died, aged 80, at Limpsfield, England.	9.0	13.0	457.0
aged	aged	In May 1947, he was sentenced to 10 years imprisonment, commuted to 7 years and died in prison, aged 58.	96.0	100.0	11494.0
aged	aged	He died in January 2003, aged 80.	25.0	29.0	528.0
aged	aged	He died on 8 May 2011, aged 92.	23.0	27.0	452.0
aged	aged	The same year, Sigismund betrothed Elizabeth to the Habsburg Duke Albert V of Austria, then aged 14.	92.0	96.0	491.0
aged	aged	He was killed in action, aged 22, on August 7, 1942 at Gavutu, Solomon Islands, during the Battle of Guadalcanal.	25.0	29.0	507.0
aged	aged	Austin, Lawson, Michael, and Will are four college-aged Christians who have grown up in the bubble of Christianity.	51.0	55.0	496.0
aged	aged	He died in August 1847, aged 65, and was succeeded in the barony by his eldest son, Denis.	24.0	28.0	535.0
aged	aged	Griffith died of a heart attack on 25 June 2010, aged 63.	49.0	53.0	473.0
aged	aged_adj	Moumita, though, takes good care of aged Pranabendu.	36.0	40.0	11495.0
aged	aged	He died in Croydon, Surrey in 1903, aged 93.	36.0	40.0	451.0
aged	aged	Bishop Cahill died in office on 2 August 1910, aged 68.	47.0	51.0	492.0
aged	aged	Putnam died of a stroke at Mercy Hospital in Springfield, Massachusetts on November 24, 1972, aged 78.	94.0	98.0	474.0
aged	aged	Quinton House School is a mixed independent school for children aged 2 to 18 years located in Upton, Northampton, England.	64.0	68.0	484.0
aged	aged	He died at the Regional Medical Center in Spartanburg, South Carolina, aged 71.	71.0	75.0	488.0
aged	aged_adj	Como, appearing aged and unwell, had the flu during the show which took four hours to record.	16.0	20.0	475.0
aged	aged	While working on a new novel, on 20 February 2009, Nolan died suddenly, aged 43.	72.0	76.0	11489.0
aged	aged	Boardman was born on November 7, 1893, in Brooklyn and ordained a parish priest on May 21, 1921, aged 27.	97.0	101.0	527.0
aged	aged	Aged 88, he died in Chichester, Sussex.	0.0	4.0	460.0
aged	aged	Together they win the fight, but the middle-aged, overweight Slaughter collapses from the effort.	44.0	48.0	498.0
aged	aged	He was ordained deacon by William Nicholson, the Bishop of Gloucester on 22 September 1667, aged 20.	92.0	96.0	493.0
aged	aged	Currier, like Roberts, had a distinctive grandfatherly look as he aged and was respected and beloved by film audiences.	66.0	70.0	450.0
aged	aged	Wiebe died on April 16, 2007, aged 70, from lung cancer.	30.0	34.0	531.0
aged	aged	This made her the oldest ever major champion (aged 46 years, 8 months).	46.0	50.0	497.0
aged	aged	Catherine Lydon, sister, unmarried, aged 18, birthplace Ireland.	36.0	40.0	11497.0
aged	aged	She died on 6 April 2014, aged 91.	26.0	30.0	467.0
aged	aged	The Desmond Stakes is a Group 3 flat horse race in Ireland open to thoroughbreds aged three years or older.	81.0	85.0	501.0
aged	aged	He died in 2007 in Leigh, in Dorset, aged 98.	37.0	41.0	530.0
aged	aged	He moved to Moscow aged 3yrs, after his father, a Soviet official, died.	19.0	23.0	508.0
aged	aged	In 1823, now aged 30, he additionally gained the appointment of astronomer at the Armagh observatory.	13.0	17.0	529.0
aged	aged	Andrews died of cardiac arrest at his home in Encino, California, on January 27, 2007, aged 86.	87.0	91.0	520.0
aged	aged	Classen died on 29 September 2013, aged 85.	35.0	39.0	494.0
aged	aged	Sherlaw's great-grandson, Andrew Montgomery, won the Crieff Soccer Centre Player of the Year award in 2008, aged seven.	108.0	112.0	463.0
