homograph	wordid	sentence	start	end	orig_idx
alternate	alternate_adj-nou	In addition to Lizzie's vlogging, other characters also released videos which provided access to alternate perspectives and story elements.	97.0	106.0	646.0
alternate	alternate_adj-nou	He was an alternate for the Republic of Georgia at the 2008 Summer Olympics.	10.0	19.0	11517.0
alternate	alternate_adj-nou	The alternate name commemorates Robert Falla, a New Zealand ornithologist.	4.0	13.0	686.0
alternate	alternate_adj-nou	Once once I was declared an alternate and I was dismissed we met with the judge			
alternate	alternate_adj-nou	The Supreme Squadron members exist in numerous alternate universes, but their main and original timeline is Earth-712.	47.0	56.0	661.0
alternate	alternate_adj-nou	For example, alternate forms exist for several tests of general intelligence, and these tests are generally seen equivalent.	13.0	22.0	715.0
alternate	alternate_adj-nou	The undivided highway crosses over CSX's Baltimore Terminal Subdivision before reaching the partial interchange with US 1 Alternate.	122.0	131.0	706.0
alternate	alternate_adj-nou	Wheat is the primary host, and barberry is the alternate host.	47.0	56.0	700.0
alternate	alternate_adj-nou	The game takes place on an alternate Earth in an era resembling the 1940s.	27.0	36.0	691.0
alternate	alternate_adj-nou	An alternate routing turning north on Eliot towards Woodhaven Boulevard never operated.	3.0	12.0	11515.0
alternate	alternate_adj-nou	It serves as a business loop and an alternate route for I-70.	36.0	45.0	648.0
alternate	alternate_adj-nou	Clocks were manufactured with this alternate face, usually combined with traditional hour markings.	35.0	44.0	676.0
alternate	alternate_adj-nou	Dziamyan Turchyn (alternate listings: Demian Turchin or Demyan Turchin, born 2 March 1985 in Minsk) is a Belarusian sprint canoer.	18.0	27.0	697.0
alternate	alternate_vrb	The scenes constantly alternate between a single frame to a grid.	22.0	31.0	674.0
alternate	alternate_adj-nou	"The Cheyarafim were victorious in the battle and banished the ""demons"" to an alternate dimension for all eternity."	77.0	86.0	644.0
alternate	alternate_adj-nou	"On the 2012 compilation Cavaliers: An Anthology 1973-1974, an alternate mix of ""Mr. Soft"" appeared on disc three."	62.0	71.0	11511.0
alternate	alternate_adj-nou	In alternate universe shown in Nagayana series, Natasha has been revealed to be the lawfully wedded wife of Dhruva.	3.0	12.0	655.0
alternate	alternate_adj-nou	In the alternate timeline after the failed assassination, Kennedy is re-elected in 1964 and dies in 1983.	7.0	16.0	687.0
alternate	alternate_adj-nou	Evan is transported to an alternate reality, a vast expanse of empty whiteness, possibly Purgatory.	26.0	35.0	637.0
alternate	alternate_adj-nou	"Mary Rosenblum's story ""Sacrifice"", from Sideways in Crime, won the 2008 Sidewise Award for Alternate History (Short Form)."	92.0	101.0	653.0
alternate	alternate_adj-nou	She acted as the event alternate throughout the season.	23.0	32.0	657.0
alternate	alternate_adj-nou	This Committee had 170 members and 109 alternate members.	39.0	48.0	631.0
alternate	alternate_adj-nou	Sometimes appended with the speaker's name in alternate case, followed by a colon.	46.0	55.0	639.0
alternate	alternate_adj-nou	"In the alternate reality of the crossover story arc ""House of M"", Nick Fury has vanished some time ago."	7.0	16.0	658.0
alternate	alternate_adj-nou	Similarly, critics were ambivalent towards the alternate finale.	47.0	56.0	651.0
alternate	alternate_adj-nou	Also during round robin play Serena Williams withdrew, and Marion Bartoli was brought in as the alternate.	96.0	105.0	680.0
alternate	alternate_adj-nou	However, an alternate track listing was posted on Tommy2.net on January 25, 2009.	12.0	21.0	638.0
alternate	alternate_adj-nou	And one of the ones that had an impact was uh people becoming interested in alternate practices			
alternate	alternate_adj-nou	He served as an alternate referee in 1995 at Super Bowl XXIX and in 1999 at Super Bowl XXXIII.	16.0	25.0	678.0
alternate	alternate_adj-nou	The alternate captains include Kelley Steadman, Bailey Bram and Jess Jones.	4.0	13.0	652.0
alternate	alternate_adj-nou	She used the opportunity to propagate her own witch-cult theory, failing to mention the alternate theories proposed by other academics.	88.0	97.0	666.0
alternate	alternate_adj-nou	Jordan is now an alternate captain for the Carolina Hurricanes.	17.0	26.0	641.0
alternate	alternate_adj-nou	The result is a gothic novel which effortlessly merges fact and fiction into an almost recognizable alternate history.	100.0	109.0	717.0
