homograph	wordid	sentence	start	end	orig_idx
bass	bass	The soundtrack also featured performances by Sargent's brother Lee and by Radiohead bass player Colin Greenwood.	84.0	88.0	11592.0
bass	bass	The left hand plays the ostinato bass line while the right hand plays the upper melody.	33.0	37.0	1378.0
bass	bass	Copying the bass lines and teaching himself the guitar.	12.0	16.0	1362.0
bass	bass	"Bassist Derrick Anderson plays on all tracks except ""Through Your Eyes"", which features bass work by Matthew Sweet."	88.0	92.0	1364.0
bass	bass	"The track is also known for Bill Wyman's so-called ""dive-bombing"" bass line at the end."	66.0	70.0	1373.0
bass	bass	Gabrielle left the band a short time later and Aaron Britt took over as the bass player.	76.0	80.0	1355.0
bass	bass_corp	Fish included sunfish, catfish, bigmouth bass, and black bass.	57.0	61.0	1377.0
bass	bass	The band originally consisted of Willis on guitar, Savage on bass (after originally playing guitar), and Kenning on drums.	61.0	65.0	1400.0
bass	bass	"In the episode entitled ""Unshockable"", DeMarcus is electrocuted by what turned out to be their bass tech Travis Murray."	95.0	99.0	1382.0
bass	bass_corp	Striper and their hybrids, as well as white bass, are also abundant.	44.0	48.0	1370.0
bass	bass	The melody in 3/4 time and E major is simple and regular with a wide range with a chaconne-like bass.	96.0	100.0	1354.0
bass	bass_corp	And they  say well there s a big bass tournament this weekend			
bass	bass_corp	Important fish species include smallmouth bass, northern pike, musky, channel catfish, walleyes, red-finned mullet, and common carp.	42.0	46.0	1424.0
bass	bass_corp	We have a lot of uh uh couple of lakes in our area that are  just filled with good sized bass			
bass	bass	The album features Dethklok members Gene Hoglan and Bryan Beller, on drums and bass, respectively.	79.0	83.0	1379.0
bass	bass	Paul Burnley (vocals), Sean Heywood (guitar), Mark Vince (guitar), Archie (bass), Stewart Baile (drums).	75.0	79.0	1347.0
bass	bass	Kona guitars are included in the Acoustic, Electric and Electric Bass Guitar Starter Packs For Dummies.	65.0	69.0	1366.0
bass	bass	The design of the bass guitar changed several times during the 1960s.	18.0	22.0	1392.0
bass	bass	Lyons asked a friend to build a 2-string bass for him and started learning the Morphine repertoire.	41.0	45.0	1386.0
bass	bass	"They were joined by Pauline Moran on bass and Marion ""Rusty"" Hill on keyboards."	37.0	41.0	1397.0
bass	bass	The Bass Coast Rail Trail is a Rail trail located in the Bass Coast Shire of Gippsland, Victoria, Australia.	4.0	8.0	1405.0
bass	bass	"Billy was originally recruited to play less ""busy"" bass parts than their then bass player."	78.0	82.0	1401.0
bass	bass	"The lyrics accompany a ""punchy octave synth figure"" synchronized with a drum and bass beat."	81.0	85.0	1359.0
bass	bass	John Szmidt also arrived, and replaced Matt Taylor on bass at the start of 2008.	54.0	58.0	1429.0
bass	bass	It was quickly announced that former Homie member Welsh would take over on bass for Weezer.	75.0	79.0	11587.0
bass	bass_corp	The spotted bass is known to hybridize with the smallmouth, which sometimes makes identification difficult.	12.0	16.0	1399.0
