homograph	wordid	sentence	start	end	orig_idx
close	close_adj-nou	NXP Semiconductors And Freescale Semiconductor Close Merger RTTNews.	47.0	52.0	1793.0
close	close_adj-nou	At the close of each episode, Burnett tugged her ear.	7.0	12.0	1838.0
close	close_adj-nou	Retired to broodmare duty, a fertile Life's Magic produced fourteen offspring, none of which came close to achieving her success.	98.0	103.0	1849.0
close	close_adj-nou	Blue doors close at the end of the current wave of enemies, but green ones remain open.	11.0	16.0	1819.0
close	close_adj-nou	So it s close to getting uh one t v per person they say			
close	close_adj-nou	The Persian onager is listed as critically endangered by IUCN Red List, as it is close to extinction.	81.0	86.0	1807.0
close	close_adj-nou	During this time MacPherson resided in Notting Hill with close friend Robbie Williams.	57.0	62.0	1797.0
close	close_adj-nou	Your family does n't live close then			
close	close_vrb	Street's health and pitching improved, although Ziegler continued to close.	69.0	74.0	1846.0
close	close_adj-nou	In essence the show came to life just as its run drew to a close.	59.0	64.0	1854.0
close	close_adj-nou	"Kohlmann claimed he was Fateh Kamel's ""right hand man"", and was also close to Abu el-Ma'ali."	69.0	74.0	11644.0
close	close_adj-nou	The United States and Tonga enjoy close cooperation on a range of international issues.	34.0	39.0	1858.0
close	close_adj-nou	Beacon Castle is an Iron Age hill fort close to Parracombe in Devon, England.	39.0	44.0	1812.0
close	close_vrb	But but supposedly once you have an office in d c or you know and and staff it with people it s really tough to close it down			
close	close_adj-nou	Ricardo was a close friend of James Mill.	14.0	19.0	1874.0
close	close_vrb	And uh I just close it out I guess			
close	close_adj-nou	Well that s close to here			
close	close_adj-nou	Close to the Manor House is a dovecote that was built in the 17th century.	0.0	5.0	1825.0
close	close_adj-nou	Well but the majority of them are in like just like how you said in close close quarters			
close	close_adj-nou	The house that house that I bought is close to a  golf course			
close	close_adj-nou	Trump has a close relationship with her father, who has publicly expressed his admiration for her on several occasions.	12.0	17.0	1870.0
close	close_adj-nou	He was also a friend and close adviser to New York City Mayor Fiorello LaGuardia.	25.0	30.0	1796.0
close	close_vrb	Like if I if I put her in a room all by herself and close the door and leave her there for a few hours uh because I was going out she would uh break something or rip up the carpet or do something just to uh to to let me know that she was unhappy with what I did			
close	close_adj-nou	 why do you think that it s less close than it used to be			
close	close_adj-nou	The regional checkoff is within their state or very close to the state.	52.0	57.0	1809.0
close	close_adj-nou	Unaware of their close call, the Reynoldses proceeded on to the Marquesas and back to Hawaii.	17.0	22.0	1865.0
close	close_adj-nou	They live close then			
close	close_adj-nou	Up close : Carol Jerrems with Larry Clark, Nan Goldin and William Yang.	3.0	8.0	1795.0
close	close_adj-nou	Clarke was a close associate of Arthur Sullivan.	13.0	18.0	11641.0
close	close_adj-nou	Tracing a line from Gacrux to Acrux leads to a point close to the Southern Celestial Pole.	53.0	58.0	1823.0
close	close_adj-nou	I do n't know that it s ever been seriously considered uh as far as close to passing uh any legislation or anything like that			
close	close_adj-nou	He spent time at the Institute for the Harmonious Development of Man and became a close student of Gurdjieff.	82.0	87.0	1839.0
close	close_adj-nou	Before passing next to the Coppermill and close to the Coppermills Water Treatment Works.	42.0	47.0	1868.0
close	close_adj-nou	Colston's is located at the top of Bell Hill, a road running close to the M32 motorway.	61.0	66.0	1835.0
close	close_adj-nou	It is close to Wilmslow Road in Rusholme.	6.0	11.0	11646.0
close	close_adj-nou	One shell had hit so close to PT 337 that fragments went whizzing by and water some of the crew.	21.0	26.0	1824.0
close	close_vrb	On November 21, 2005, General Motors announced that it would close its Doraville automobile manufacturing plant on September 26, 2008.	61.0	66.0	1861.0
close	close_adj-nou	Though data on Pamigua is extremely limited, the relationship seems to be fairly close: Tinigua manaxai 'walk!'	81.0	86.0	1869.0
close	close_adj-nou	That is one thing that I do n't enjoy about it is the houses are too close together			
close	close_adj-nou	She and Arnold also had close friends who were either actively Loyalist or sympathetic to that cause.	24.0	29.0	1818.0
close	close_adj-nou	And uh it s just remarkable how close it will match the paint uh			
close	close_adj-nou	Penllergar primary school is very near the church in fact so close by it will take three minutes.	61.0	66.0	1841.0
close	close_adj-nou	Ferrybridge and Eggborough power stations were scheduled to close in March 2016.	60.0	65.0	1808.0
close	close_adj-nou	In basic steps, the passing leg moves quickly to rest for a moment close to the grounded leg.	67.0	72.0	1813.0
