homograph	wordid	sentence	start	end	orig_idx
conflict	conflict_nou	The arsonist, calling himself Enfer, continues his rampage of destruction and comes into conflict with the Joker.	89.0	97.0	2407.0
conflict	conflict_nou	An occasion for war: civil conflict in Lebanon and Damascus in 1860.	27.0	35.0	2359.0
conflict	conflict_nou	However, a solution to the conflict is currently still evasive.	27.0	35.0	2398.0
conflict	conflict_nou	The conflict ends in a final showdown between Ribbons and Setsuna with the latter's victory.	4.0	12.0	2404.0
conflict	conflict_nou	Arbitration is best for low intensity conflict, but is the most favored mediation style overall.	38.0	46.0	2367.0
conflict	conflict_nou	The emperor probably agreed with King Philip II of France, already in conflict with the English king, on Richard's capture.	70.0	78.0	2330.0
conflict	conflict_nou	Fear of communism, extreme revolutionary ideas and ultra-nationalism caused conflict among the new ruling elites.	76.0	84.0	2340.0
conflict	conflict_nou	Driven insane by his internal conflict, he decides to practice his new routine from the act without protection.	30.0	38.0	2329.0
conflict	conflict_nou	Armed Conflict and Biodiversity in Sub-Saharan Africa:The Case of the Democratic Republic of Congo (DRC) (Report).	6.0	14.0	2326.0
conflict	conflict_nou	Although based on The Gordin Cell, the Korean drama was tailored to the current North-South Korean political conflict.	109.0	117.0	11704.0
conflict	conflict_nou	Louis feared a further escalation of the conflict against this formidable coalition.	41.0	49.0	2400.0
conflict	conflict_nou	Boniface VIII viewed conflict between England and France as a particularly grave matter.	21.0	29.0	11702.0
conflict	conflict_nou	Under Otto's successor, King Henry II, the conflict was still smouldering.	43.0	51.0	2377.0
conflict	conflict_nou	The end of the conflict saw Italy devastated and considerably depopulated.	15.0	23.0	2341.0
conflict	conflict_nou	It is designed to provide protection in low intensity conflict.	54.0	62.0	2345.0
conflict	conflict_nou	Embarrassed, the Eisenhower administration quickly ended CIA support for Permesta and withdrew its agents and remaining aircraft from the conflict.	138.0	146.0	2356.0
conflict	conflict_nou	The first serious armed conflict of the war took place on February 14.	24.0	32.0	2370.0
conflict	conflict_nou	The different strategies resulted in a sharp conflict between the two communist politicians.	45.0	53.0	2344.0
