homograph	wordid	sentence	start	end	orig_idx
invite	invite_nou	Signed free agent IF Andy LaRoche to a minor league deal with an invite to big league camp.	65.0	71.0	6643.0
invite	invite_vrb	They decide on a small country church and invite all family and friends.	42.0	48.0	6594.0
invite	invite_vrb	Its purpose is to invite young English-speaking authors to live, write and teach in Leipzig.	18.0	24.0	6632.0
invite	invite_vrb	According to Compaoré, Gnassingbé said that he would invite the opposition to participate in the government.	55.0	61.0	6682.0
invite	invite_nou	This victory earned him his pro strongman card, as well as an invite to the 2011 Arnold Strongman Classic.	62.0	68.0	6637.0
invite	invite_vrb	"To pique my interest, I suggested his friend invite a girlfriend to join her."""	45.0	51.0	12180.0
invite	invite_vrb	Bushnell would invite Kelly and Wood over for dinner, with his guests bringing the food.	15.0	21.0	6655.0
invite	invite_vrb	The expectant mother would invite close female friends and family members to her home to keep her company.	27.0	33.0	6635.0
invite	invite_vrb	In Facebook a player can invite friends to game, and they unlock as partners when they reach level 5.	25.0	31.0	6631.0
invite	invite_nou	The game originally gave an automatic invite to a team from the now-defunct Southwest Conference (SWC).	38.0	44.0	6600.0
invite	invite_vrb	At the time, the band was changing, and Fiuk decided to invite Max for an audition to know him better.	56.0	62.0	6611.0
invite	invite_vrb	Now Thaitanium invite Nas that is the best of the hip hop band from USA.	15.0	21.0	6642.0
invite	invite_nou	The events are invite only and are designed to introduce alternative protein sources as well as celebrate native eating traditions.	15.0	21.0	6659.0
invite	invite_vrb	The two proceed to invite people who pass by into their house for a meal.	19.0	25.0	6669.0
invite	invite_vrb	You invite him to dinner and his friends talk easily into the night after everyone else has gone.	4.0	10.0	6663.0
invite	invite_vrb	Each blooming season, the master would invite guests to come admire them together.	39.0	45.0	6651.0
invite	invite_vrb	Paige's birthday is approaching and she requests to invite Pastor Tim and his wife to dinner.	52.0	58.0	6627.0
invite	invite_vrb	Before leave the store, Faye convinces Cassie to invite Luke (Zachary Abel) to the party as her date.	49.0	55.0	6612.0
invite	invite_vrb	Any interruption of the refrigeration, however, could invite bacterial contamination to grow.	54.0	60.0	6675.0
invite	invite_vrb	He later would invite Adam Lazzara to join the band.	15.0	21.0	6608.0
invite	invite_vrb	After they apply to programs, programs review applications and invite selected candidates for interviews held between October and February.	63.0	69.0	6618.0
invite	invite_nou	Undrafted by a National Hockey League (NHL) club, Tessier earned an invite to the Montreal Canadiens training camp in 2000.	68.0	74.0	6657.0
invite	invite_vrb	And the one thing I can promise you, is to invite you to witness the foot without a cast!	43.0	49.0	6597.0
invite	invite_vrb	Aspiring career women needed a place where they could entertain without having to invite people to their homes.	82.0	88.0	6673.0
invite	invite_vrb	La nave, the Terrario and Avant Garden, different exhibit and activity formats, invite visitors to inhabit a space in transformation.	80.0	86.0	6636.0
invite	invite_vrb	Team Finlands coach Mauro Berruto did not invite him to the camp of the National team in Kuortane.	42.0	48.0	6638.0
invite	invite_vrb	She is an unashamed witness, and will gladly invite people to attend the church meetings, much to Zak's chagrin.	45.0	51.0	6629.0
invite	invite_nou	On November 26, 2011, the Louisiana Tech Bulldogs accepted an invite to represent the WAC.	62.0	68.0	6667.0
invite	invite_vrb	The would-be guests then invite Mme Sénéchal to join them for dinner at a nearby inn.	25.0	31.0	6653.0
invite	invite_vrb	Key carrying women members are allowed to invite guests of any gender.	42.0	48.0	6609.0
