homograph	wordid	sentence	start	end	orig_idx
mobile	mobile	Continental Airlines became the first airline to launch a mobile boarding pass service to London's Heathrow.	58.0	64.0	7489.0
mobile	mobile	The museum routinely travels around the country with a pop-up version of the experience called the Mobile Museum.	99.0	105.0	7419.0
mobile	mobile	It is only released in China, presently on the ZUK Z1 mobile phone.	54.0	60.0	7492.0
mobile	mobile	The tail remains mobile, distracting the predator, while the lizard becomes motionless, allowing eventual escape.	17.0	23.0	12271.0
mobile	mobile_geo	The men came from Clarke, Monroe, Wilcox, Choctaw, Fayette, Conecuh, Coosa, Dallas, Baldwin and Mobile counties of Alabama.	96.0	102.0	7456.0
mobile	mobile	I guess my favorite vacation idea would be to somehow figure out something kind of mobile where you could stop and sleep maybe you know like a a small camper			
mobile	mobile	We at the time we thought we might buy a mobile home			
mobile	mobile	These are delivered via their website and mobile apps.	42.0	48.0	12264.0
mobile	mobile	Urban Airship is an American company that provides a mobile engagement platform and digital wallet solution.	53.0	59.0	12273.0
mobile	mobile	Lloyd drives Cheryl to work and she leaves her mobile in his taxi.	47.0	53.0	7418.0
mobile	mobile	The Nokia 6280 is a 3G mobile phone from Nokia.	23.0	29.0	7450.0
mobile	mobile	The Army urgently needed mobile heavy field artillery and these were the first truck-mounted field artillery of the Italian Army.	25.0	31.0	7493.0
mobile	mobile	On September 19, Public Mobile entered an application for leave to appeal to the Supreme Court of Canada.	24.0	30.0	7477.0
mobile	mobile	The next wave of popular mobile enterprise application software was the advent of the CRM software.	25.0	31.0	7426.0
mobile	mobile	At one point she brandishes her mobile phone at him.	32.0	38.0	12268.0
mobile	mobile	It is currently available for touch-screen devices on Windows Mobile 5 & 6 only.	62.0	68.0	7499.0
mobile	mobile	As of June 2015, Myanmar has a mobile phone penetration rate of 54.6%, up from less than 10% in 2012.	31.0	37.0	12272.0
mobile	mobile	There is no mobile phone reception on the island.	12.0	18.0	7495.0
mobile	mobile	The Siemens M65 is a robust mobile phone.	28.0	34.0	7459.0
mobile	mobile	Concierge is an OSGI (Open Service Gateway Initiative) R3 framework implementation intended for resource-constrained devices like mobile and embedded systems.	130.0	136.0	7475.0
mobile	mobile	The Dutch company Artiq Mobile launched a website where people can upload homemade Loituma Girl spoof videos.	24.0	30.0	7461.0
mobile	mobile	Through Mobile IPTV, users can view IPTV services using a mobile device.	58.0	64.0	12266.0
mobile	mobile	Mechanized divisions had to rely on these, becoming easy targets for the mobile Finnish ski troops.	73.0	79.0	7442.0
mobile	mobile	Being a highly mobile molecule it moves ahead of most proteins.	15.0	21.0	7452.0
mobile	mobile	Self-published books are edited using a web interface; they are also accessible via dedicated Kindle and mobile websites.	105.0	111.0	7424.0
mobile	mobile	Land line telephone services and mobile telephone services are available to the majority of areas.	33.0	39.0	7465.0
mobile	mobile	The Starmap mobile Alliance was shut down at the beginning of 2007.	12.0	18.0	7422.0
mobile	mobile	In 2003 the clinic acquired a 28-foot long mobile law office, perhaps the first such facility in the country.	43.0	49.0	7428.0
mobile	mobile	The Australian Mobile/PDA EDITIONBoland, Michaela (6 December 2007).	15.0	21.0	7437.0
mobile	mobile	Vyrso is an ebook store and mobile app that specialises in Christian fiction and non-fiction.	28.0	34.0	7484.0
mobile	mobile	In 2015, Green was a judge for the 2015 Boost Mobile NBA D-League Slam Dunk Contest.	46.0	52.0	7498.0
mobile	mobile	Office Mobile was released for Android phones on 31 July 2013 in the United States.	7.0	13.0	7414.0
mobile	mobile	Public reverse geocoding services are becoming increasingly available through APIs and other web services as well as mobile phone applications.	117.0	123.0	7446.0
mobile	mobile	Nokia X2-05 is an entry-level mobile phone running on the Nokia Series 40 operating system.	30.0	36.0	7470.0
mobile	mobile	Mobile broadband could be used to serve people living in rural area and low income groups, such as farmers.	0.0	6.0	7463.0
mobile	mobile	Bowden said they ultimately chose Ponder because he was the more mobile quarterback.	65.0	71.0	7447.0
mobile	mobile	The number of musketeers relative to pikemen grew, partly because they were now more mobile than pikemen.	85.0	91.0	7483.0
mobile	mobile	It can also affect mobile phones, FM radios, and televisions.	19.0	25.0	7423.0
mobile	mobile	His Suicide Squad film version is playable in the mobile version of the game.	50.0	56.0	7438.0
mobile	mobile	Two vehicles are operated with limited stock by Rhydypennau Library, but specific books can be ordered through the mobile library.	115.0	121.0	7472.0
mobile	mobile	In 2007 Excitor was placed in the IDC Leadership Grid of the Mobile Device Management Enterprise Market.	61.0	67.0	7449.0
mobile	mobile	Network-based mobility management enables the same functionality as Mobile IP, without any modifications to the host's TCP/IP Protocol stack.	68.0	74.0	7487.0
mobile	mobile	Later that evening, an EF2 tornado passed west of Notasulga, Alabama and heavily damaged several homes and mobile homes.	107.0	113.0	7440.0
mobile	mobile	Voalte Connect is a mobile device management system that activates, monitors, and supports the devices through a secure platform.	20.0	26.0	7497.0
