homograph	wordid	sentence	start	end	orig_idx
use	use_vrb	The HM in the name indicates that these lenses use high-modulation glass elements.	47.0	50.0	11072.0
use	use_nou	Its main use is for fresh eating.	9.0	12.0	11006.0
use	use_vrb	Lancia continued to use the HF integrale 16v throughout the 1990 season.	20.0	23.0	12669.0
use	use_nou	It was a hairstyle that remained in constant use even when fashion changed.	45.0	48.0	11014.0
use	use_nou	The following are a few examples selected to illustrate the variety in use today.	71.0	74.0	10999.0
use	use_vrb	They are the only ones that use Glock pistols (Glock 17 type).	28.0	31.0	11061.0
use	use_vrb	Which one do you feel is better since you use them both			
use	use_nou	This category of chip has grown dramatically with the increased use of 3G cell phones and other portable technologies.	64.0	67.0	11081.0
use	use_vrb	If someone was out to get you I think that a company or a boss could use this			
use	use_nou	Kal Tire also carries and services industrial-use tires for equipment such as forklifts, excavators and tracked vehicles.	46.0	49.0	11031.0
use	use_nou	Before the liturgical reform, black was the ordinary color for funeral Masses; in the revised use, several options are available.	94.0	97.0	11023.0
use	use_vrb	Some dog handlers use trade secrets to trim and style a dog for the show ring.	18.0	21.0	11045.0
use	use_nou	Ribavirin was patented in 1971 and approved for medical use in 1986.	56.0	59.0	12670.0
use	use_vrb	All existing switches have been subsequently upgraded to use the 1B processor.	57.0	60.0	12666.0
use	use_vrb	So you know and yet they yet people get very frightened when they see the Japanese moving in and the Russians moving in certain areas of technology you know that we use to dominate			
use	use_vrb	Use it as a just a			
use	use_vrb	Nowadays, only the older generation of Ilocanos use the Spanish system.	48.0	51.0	11047.0
use	use_nou	His team pioneered the use of GRACE for remote sensing of groundwater storage changes.	23.0	26.0	10998.0
use	use_vrb	And I and I use it			
use	use_vrb	In order to test effects within an omnibus test, researchers often use contrasts.	67.0	70.0	11049.0
use	use_nou	This module was developed and intended for use with the Dungeons & Dragons Expert Set and Companion Set rules.	43.0	46.0	12673.0
use	use_nou	In lower limb surgery there have also been reports of successful use of perforator flaps.	65.0	68.0	11070.0
use	use_nou	It makes repeated use of Euclidean division.	18.0	21.0	11048.0
use	use_vrb	What do you use it for			
use	use_nou	Also many buildings in the compound show use of textiles or evidence of textiles being made in the building itself.	41.0	44.0	11044.0
use	use_vrb	The Hive use superior numbers to overwhelm their opponents in close quarters while more elite units attack from a distance.	9.0	12.0	11039.0
use	use_vrb	But I think that if I learn how to use one I would I would feel better			
use	use_nou	Gamification, the use of game mechanics to make tasks more fun, is used to encourage community engagement on SCN.	18.0	21.0	11013.0
use	use_nou	The same developer also maintains a JavaScript (nodejs) tool to automate packaging Android apps for use with ARC.	100.0	103.0	11062.0
use	use_vrb	Despite the great deal of attention the system has received, very few publications successfully derive (or use) the full dynamics.	107.0	110.0	11063.0
use	use_nou	Equally important as the use or lack of symbolism in algebra was the degree of the equations that were addressed.	25.0	28.0	11036.0
use	use_vrb	Especially people who often use them for various purposes.	28.0	31.0	11020.0
use	use_nou	In 2007, the terminal's use changed to pilgrimage and charter flights.	24.0	27.0	11051.0
use	use_nou	Because of segregation, his skills were never put to use.	53.0	56.0	10994.0
use	use_nou	First, takedown notices supersede the fair use doctrine which goes against the freedom of speech act.	43.0	46.0	12672.0
use	use_nou	The Government of the Netherlands donated US$370,000 for use in the relief efforts following the storm.	57.0	60.0	11038.0
use	use_nou	The BS 4573 socket is suitable for use in dry areas only, so is rarely used in a stand-alone form.	35.0	38.0	11077.0
use	use_nou	"In common use, ""cane"" may refer to any plant with a long, thin stem."	10.0	13.0	11058.0
use	use_vrb	Nowadays Gorodets craftsmen use similar imagery and motifs in their works.	28.0	31.0	11073.0
use	use_vrb	Rasterization systems generally use a transformation stack to move the stream of input vertices into place.	32.0	35.0	11019.0
use	use_nou	It joined the Brisbane tuff culvert and is still in use.	52.0	55.0	10993.0
use	use_nou	The player can also make use of several weapons of opportunity, such as fire extinguishers.	25.0	28.0	11032.0
use	use_nou	Some equipment adapted for use in paediatric radiology includes:Artificial Windows / light panelsPositioning equipment such as sponges, weights.	27.0	30.0	11000.0
use	use_nou	Kennedy Park is a large, multi-use park in Hayward, California, managed by the Hayward Area Recreation and Park District (HARD).	31.0	34.0	11060.0
use	use_vrb	It also depends on who s cooking it and how much seasoning they use stuff like that			
use	use_nou	MOD and TOD are recording formats for use in digital tapeless camcorders.	38.0	41.0	11028.0
use	use_vrb	She s not going to do it not going to use it			
use	use_nou	In the early 1890s, bookcases were purchased for use in each classroom.	49.0	52.0	11068.0
use	use_nou	The technique was in widespread use in Athenian Democracy and Renaissance Florence and is still used in modern jury selection.	32.0	35.0	11075.0
use	use_vrb	In Maine, fence views use their judgement to determine if a fence is legal and sufficient.	22.0	25.0	11033.0
use	use_vrb	Academic critics have pointed out that pseudoarchaeologists typically neglect to use the scientific method.	81.0	84.0	11024.0
use	use_vrb	Light water reactors, both boiling water and pressurised water reactors the most common type, use ordinary (light) water.	94.0	97.0	12664.0
use	use_nou	In December 2004 the School Board decided to retain the use of corporal punishment.	56.0	59.0	11052.0
use	use_nou	The effect of preventive use is not clear.	25.0	28.0	11011.0
use	use_nou	She remained at Nikolayev throughout the Russian Civil War, of no use to either side.	66.0	69.0	11076.0
use	use_vrb	For media, CS networks use Pulse-code modulation (PCM), while IMS uses Real-time Transport Protocol (RTP).	23.0	26.0	11043.0
use	use_nou	Substances can leave particles during consumer use, for example into the air where they can be inhaled or ingested.	47.0	50.0	11034.0
use	use_vrb	Many modern offset presses use computer-to-plate systems as opposed to the older computer-to-film work flows, which further increases their quality.	27.0	30.0	11059.0
use	use_nou	Thetford Hill State Park is a day-use state park in Thetford Hill State Forest in Thetford, Vermont.	34.0	37.0	11029.0
use	use_nou	It is also available for use by other institutions for seminars.	25.0	28.0	11050.0
use	use_vrb	Boletini intended to use Montenegro as a base for incursions into Ottoman Albania.	21.0	24.0	11016.0
use	use_vrb	Brand is reluctant to do this, but they use his own words against him, and he gives in.	40.0	43.0	11037.0
use	use_vrb	Because I did n't think I was really going to use it			
use	use_vrb	They do n't know that I do n't use drugs			
use	use_vrb	"Of the controls, he wrote ""at times the movements don't seem to register properly unless you use exaggerated gestures."""	93.0	96.0	11046.0
use	use_vrb	Anti-Christian and anti-Jewish passages remained in grade school textbooks that use rhetoric that were little more than hate literature.	80.0	83.0	11066.0
use	use_vrb	Because the shore and breakwater are disconnected, it is necessary to use a boat to reach it.	70.0	73.0	11071.0
use	use_vrb	So that people would use this stuff  over again			
use	use_nou	After the war Shinano Maru reverted to civilian use, being scrapped in 1951.	48.0	51.0	11054.0
use	use_nou	Use of buses around the world has also been influenced by colonial associations or political alliances between countries.	0.0	3.0	11078.0
use	use_vrb	Now I i do use gas cards			
use	use_nou	The other mineral found in large quantities, conveniently with a commercial use, is shale.	76.0	79.0	11022.0
use	use_nou	Membership in OCLC is based on use of services and contribution of data.	31.0	34.0	11055.0
use	use_nou	Additionally, the eastern perimeter track for the aircraft has been adapted for use as a local road.	80.0	83.0	11041.0
use	use_vrb	Glider pilots use GNSS Flight Recorders to log GNSS data verifying their arrival at turn points in gliding competitions.	14.0	17.0	11025.0
use	use_nou	This is done through the use of materials that readily form stable compounds with active gases.	25.0	28.0	11053.0
use	use_nou	It has an additional use in gastric variceal obliteration as a dilutant that does not affect polymerization of cyanoacrylate.	21.0	24.0	10992.0
use	use_nou	Maspero published other testimonies on Algeria, including investigations of the use of torture by the French Army, also censored.	80.0	83.0	11018.0
use	use_nou	Erlang has found some use in fielding MMORPG servers.	22.0	25.0	11008.0
use	use_vrb	I use to do a lot more and sell at craft shows			
use	use_vrb	Smiley is able to use this irregularity against Karla, forcing him to defect to the West.	18.0	21.0	11035.0
use	use_vrb	"Those who are actively certified as a registered respiratory therapist are permitted to use the post-nominal letters ""RRT""."	88.0	91.0	11030.0
use	use_vrb	The government planned to use some of the residential blocks as social housing.	26.0	29.0	11021.0
use	use_nou	Without the use of that confession, it is unlikely that there is sufficient evidence to retry him.	12.0	15.0	11040.0
use	use_vrb	And a uh we  use a wood burning stove as well			
use	use_nou	"Instead, it should put the lands to their ""highest and best use."""	60.0	63.0	11069.0
use	use_vrb	Hence consumers are advised to use a different phone when dialing a company's number to confirm.	31.0	34.0	12667.0
use	use_vrb	The Sugpiaq (Alaska) also use it for bandages, and as a hot compress in medicinal steam baths.	26.0	29.0	11057.0
use	use_vrb	Numerical solutions use a mesh of the structure to perform the simulation.	20.0	23.0	11056.0
use	use_vrb	And we like here we use the p c s to do that			
use	use_vrb	Applications could also use simplified higher-level objects rather than directly call methods on the engines.	24.0	27.0	11005.0
use	use_vrb	And so we use those			
use	use_vrb	I just do n't know if I d have the time to use it			
use	use_vrb	I do n't use it as much as my children and my husband do			
use	use_nou	Even by that definition, the use of four wheels instead of two raises doubts.	29.0	32.0	11065.0
use	use_vrb	When writing the song, vocalist Chris Martin originally intended to use a church-style organ for the track.	68.0	71.0	12665.0
use	use_vrb	Another concept of sample-return mission from Phobos and Deimos is OSIRIS-REx 2, which would use heritage from the first OSIRIS-REx.	93.0	96.0	11079.0
use	use_vrb	I mean I mean n everybody knows that it that the the language is there so they could just ignore it and you know use different words instead I think			
use	use_vrb	The Japanese even use their cell phones to do grocery shopping.	18.0	21.0	11003.0
use	use_vrb	So you ca n't use it anyway			
use	use_vrb	He turned to Zev to use his connections on Capitol Hill, and it was done.	20.0	23.0	11010.0
use	use_vrb	What do you use yours at home for			
