homograph	wordid	sentence	start	end	orig_idx
wind	wind_nou	The Rolling Hills Wind Farm may be one of two wind farms, one in Wyoming, the other in Iowa.	46.0	50.0	11181.0
wind	wind_vrb	It could really wind up			
wind	wind_nou	On humid days, with a strong Northeast wind, the smell of charred wood is present in the second story.	39.0	43.0	11187.0
wind	wind_nou	Tyson was taken off and when Trueman was given the wind he bowled Favell.	51.0	55.0	11246.0
wind	wind_nou	The ships heeled away from the wind so that the leeward vessel was exposing part of her bottom to shot.	31.0	35.0	11256.0
wind	wind_nou	By comparison, 15 vessels are used to maintain offshore wind farms in the North Sea.	56.0	60.0	11177.0
wind	wind_vrb	And you wind up waiting about an hour			
wind	wind_vrb	This Fund is now in wind down mode and capital being returned to investors.	20.0	24.0	11206.0
wind	wind_nou	Therefore, vertical axis wind mills (e.g. Savonius turbines) are sometimes preferred.	25.0	29.0	11258.0
wind	wind_nou	An Wind meter honouring former Commodore and amateur Meteorologist Ezekiel Stone Wiggins was located on the clubhouse roof in 2011.	3.0	7.0	11175.0
wind	wind_nou	Wind dinosaurs consist of smaller theropods, such as Allosaurus and Utahraptor.	0.0	4.0	11218.0
wind	wind_nou	Like most extremely massive stars, HD 151932 is losing mass via its stellar wind.	76.0	80.0	11178.0
wind	wind_vrb	And uh still you wind up meeting people you uh you never knew you were related to let alone			
wind	wind_vrb	But we have such an affluent a society society that I wonder if if we took a little from here and there and the other if we might wind up with a a cure for just about everything			
wind	wind_nou	The four kinds of severe weather produced in these outbreaks are tornadoes, severe wind, large hail, and flash flooding.	83.0	87.0	11248.0
wind	wind_nou	For higher altitude drops, the effect of wind and bomb trajectory could no longer be ignored.	41.0	45.0	11253.0
wind	wind_vrb	They  come in and tell us that the switchboard is full now and it s time for you to wind up in the next thirty seconds or something like that			
wind	wind_nou	With continually strengthening wind fields, the capping inversion steadily weakened, and several tornadic supercells formed across Arkansas.	31.0	35.0	12686.0
wind	wind_vrb	Because people that uh do n't make very much money wind up spending it all			
wind	wind_nou	In parts of Antarctica wind-blown snowflakes that are technically sediments have also caused abrasion of exposed rocks.	23.0	27.0	11204.0
wind	wind_nou	Water-, steam-, horse- or ox- and wind-powered bark mills existed.	34.0	38.0	11237.0
wind	wind_nou	The wind farm will consists of 17 Vestas V47 wind turbines, for a total capacity of 11.2 MW.	4.0	8.0	11179.0
wind	wind_nou	The electricity sector uses mainly renewable energy sources such as hydropower, geothermal power and increasingly wind energy.	114.0	118.0	11211.0
wind	wind_nou	On the other hand, the wind instruments and percussions are particularly prominent.	23.0	27.0	11191.0
wind	wind_nou	The company expects to invest ~35billion Yuan in CNR Wind Power to establish a full scale wind power industry.	90.0	94.0	11251.0
wind	wind_nou	Siemens Energy to supply wind farm turbines.	25.0	29.0	11226.0
wind	wind_nou	The yacht's sophisticated computer detects parameters such as wind speed automatically and displays key data.	62.0	66.0	11209.0
wind	wind_nou	The plant is thought to be anemophilous (pollinated by wind).	55.0	59.0	11230.0
wind	wind_nou	Men's and women's equipment includes footwear, shirts, shorts, pants, outerwear (wind suits), base layer and eyewear.	81.0	85.0	11232.0
wind	wind_nou	However, most of this noise is expected to be masked by the surrounding noise generated by the wind and waves.	95.0	99.0	11197.0
wind	wind_nou	Reith wrote two volumes of autobiography: Into The Wind in 1956 and Wearing Spurs in 1966.	51.0	55.0	11192.0
wind	wind_nou	Studies are often required to ensure that pedestrian wind comfort and wind danger concerns are addressed.	70.0	74.0	11249.0
wind	wind_vrb	And a lot of times what I wind up doing is picking say an actor or an actress and seeing like all			
wind	wind_nou	"Everclear (band) features a track titled ""Santa Ana Wind"" on their 2012 album Invisible Stars."	52.0	56.0	11219.0
wind	wind_nou	In 1993 he directed The Wind and the Willows by Douglas Post.	24.0	28.0	11233.0
wind	wind_nou	He is the only wind god that Maui did not take control of.	15.0	19.0	11184.0
wind	wind_nou	Wind and Rain are represented by images of their associated gods, Ehecatl and Tlaloc (respectively).	0.0	4.0	12687.0
wind	wind_nou	During the night the wind increased in strength and shifted to a more westerly direction.	21.0	25.0	11208.0
wind	wind_nou	Ivens explains how he for his entire career has tried to tame the wind by capturing it with the camera.	66.0	70.0	11216.0
wind	wind_nou	The 150 wind turbines are Siemens SWT-4.0, each with a capacity of 4 megawatts (MW).	8.0	12.0	12688.0
wind	wind_nou	During the races the wind was pretty light and quite unpredictable.	21.0	25.0	11180.0
wind	wind_nou	As of 2008, Sweden produced 1.6% of electricity with wind power.	53.0	57.0	11213.0
wind	wind_vrb	And and it was a little bit hard to uh wind down			
wind	wind_vrb	And so I wind up going out camping with uh a bunch of boys at one time			
wind	wind_nou	"This would give a plausible meaning of ""India-wind""."	46.0	50.0	12691.0
wind	wind_nou	The Sibioara Wind Farm is a proposed wind power project in Sibioara, Vaslui County, Romania.	13.0	17.0	11225.0
wind	wind_nou	The Makara area has long been favoured as a site for building a wind farm.	64.0	68.0	11254.0
wind	wind_nou	The line would carry 1,000-MW of power from wind, solar, and natural gas producers.	44.0	48.0	11200.0
wind	wind_nou	Weather, 66, 72-78Scorer, R.S., 1952: Mountain-gap winds; a study of the surface wind in Gibraltar.	81.0	85.0	11207.0
wind	wind_nou	The trees have become wind-beaten, gnarled, leafless trunks.	22.0	26.0	11238.0
wind	wind_vrb	And uh I find if you  not careful you wind up uh a month or so staring those bills in the face			
wind	wind_nou	Additionally, a strong westerly wind was greater in strength than it had been forecasted.	32.0	36.0	12692.0
wind	wind_nou	At Aberdaron in Gwynedd, Wales, a 36 m/s (130 km/h) wind gust was reported on 12 November.	52.0	56.0	11220.0
wind	wind_nou	This emergent coastal plain is made up of sand and mud deposited by rivers and by wind.	82.0	86.0	11260.0
wind	wind_nou	In November 2001, the Wind of Hope full-length album was released.	22.0	26.0	11223.0
wind	wind_nou	Conditions deteriorated on 26 January when the system ran into some vertical wind shear and weakened.	77.0	81.0	11185.0
wind	wind_nou	The arena is partly powered by two 4 kW vertical axis wind turbine manufactured by Urban Green Energy.	54.0	58.0	12693.0
wind	wind_nou	"Locally we want more wind farms and public services; and no more housing developments, roads, warehouses or nuclear waste."""	21.0	25.0	11240.0
wind	wind_nou	In November 2014 DONG Energy was given development consent for an extension to the Walney offshore wind farm.	99.0	103.0	11257.0
wind	wind_nou	The solar wind also carries with it the Sun's magnetic field.	10.0	14.0	11189.0
wind	wind_nou	August is the month with the weakest average wind speeds.	45.0	49.0	11194.0
wind	wind_nou	In 2013, the Wind Ensemble was accepted as a featured band in the Music for All National Concert Band Festival.	13.0	17.0	11247.0
wind	wind_nou	Brookfield's $275 million Granite Reliable Wind Farm has 33 Vestas three-megawatt wind turbines on mountains in the Phillips Brook area.	82.0	86.0	11201.0
wind	wind_nou	The prevailing wind flow is generally southwesterly and light, below 15 knots.	15.0	19.0	11214.0
wind	wind_nou	Washington state has sales tax exemptions for wind energy.	46.0	50.0	11250.0
wind	wind_nou	He introduced the concept of boundary layer and founded mathematical aerodynamics by calculating air flow in the down wind direction.	118.0	122.0	12690.0
wind	wind_nou	EDP Dobrogea Wind Farm is a large wind power project in the Dobrogea region, Romania.	13.0	17.0	11244.0
wind	wind_nou	It easily becomes naturalized where it is introduced because its seeds are prolifically produced and widely scattered by the wind.	125.0	129.0	11255.0
wind	wind_nou	The following year, he received an Oscar nomination for his part in George Cukor's Wild Is the Wind.	95.0	99.0	11229.0
wind	wind_vrb	And I always wind up getting under the hood and finding out all the things that you know need to be taken care of and so forth			
wind	wind_nou	During the voyage, she was allowed to drop her tow lines from the tug and continue alone under wind power.	95.0	99.0	11221.0
wind	wind_vrb	On 23 May 2014, it was announced that it would wind down and eventually close.	47.0	51.0	11176.0
wind	wind_nou	The monoecious species is wind pollinated and described as having mostly erect branches, tough furrowed bark and dark green foliage.	26.0	30.0	11259.0
wind	wind_nou	Later that morning, the hurricane reached Category 2 intensity on the Saffir-Simpson Hurricane Wind Scale (SSHWS).	95.0	99.0	11236.0
wind	wind_nou	He subsequently built a full-scale grid-connected wind turbine which was installed in 1978 on his parents' farm.	50.0	54.0	11196.0
wind	wind_nou	Foredunes are formed when sand accumulates and wind actively transforms the landscape.	47.0	51.0	11227.0
wind	wind_nou	Suddenly the lights go out and the wind rises.	35.0	39.0	11183.0
wind	wind_nou	In English it could be described as a bird-scaring rattle, a wind-rattle or a wind-clapper.	78.0	82.0	11203.0
wind	wind_vrb	John and Feck wind up at the river's edge, and John starts messing with Feck's doll.	14.0	18.0	11193.0
wind	wind_nou	Steering currents pulled Ignacio north, where it encountered wind shear and cooler waters.	61.0	65.0	11242.0
wind	wind_vrb	We all need that time just some quiet time to wind down from the day			
wind	wind_vrb	Uh well um first off we d probably wind up with a a cat or maybe a puppy			
wind	wind_nou	Paegam also has the highest wind speeds of any district in North Korea.	28.0	32.0	11239.0
wind	wind_vrb	So I wind up with my getting money back on my uh from my uh withholding			
wind	wind_nou	But as the media caught wind of the group and their rather unorthodox religious ceremonies, things started to change.	24.0	28.0	11241.0
wind	wind_vrb	6,788 yards wind their way through 125 acres (0.51 km²) to make up the golf course.	12.0	16.0	11198.0
wind	wind_vrb	A a as soon as we wind up uh uh you know for			
wind	wind_nou	He then became founder and Chief Executive of Airtricity, the Irish wind farm development company from 1997 until January 2008.	68.0	72.0	11195.0
wind	wind_nou	The response from the Lancastrian archers was ineffective as the heavy wind blew snow in their faces.	71.0	75.0	11182.0
wind	wind_nou	In Polynesian mythology (Specifically: Samoa), Fa'atiu is the wind and storm god.	62.0	66.0	11222.0
wind	wind_vrb	You know it s going to wind up hurting your state if all the other states are n't doing it at the same time			
wind	wind_nou	In March 2009 Wind Capital Group announced the sale of their second wind farm outside of Missouri.	68.0	72.0	11202.0
wind	wind_nou	Typically the most important weather parameter measured at this height is wind speed and direction.	74.0	78.0	11243.0
wind	wind_vrb	Uh when you get to be my age and you start abusing your systems you get blown away and just wind up having to kiss your ass good  you know			
wind	wind_nou	In 2012, it became home to the first wind farm in the Upper Peninsula, the 28 MW Garden Wind Farm.	88.0	92.0	11190.0
wind	wind_nou	Artists hosted include solo pianists with homemade electronics, string quartets, wind trios, vocal octets, and many other configurations.	81.0	85.0	11212.0
