homograph	wordid	sentence	start	end	orig_idx
wound	wound_vrb	The couple separated in 1988, and in the following year, Fabio Garcia's company wound up.	80.0	85.0	11401.0
wound	wound_nou-vrb	It has been tested and successfully used as a wound dressing, especially in burn cases.	46.0	51.0	11437.0
wound	wound_vrb	All electrical cables are somewhat flexible, allowing them to be shipped to installation sites wound on reels or drums.	95.0	100.0	11363.0
wound	wound_nou-vrb	He may have received a near fatal wound on the same campaign in which the Young King died in 1183.	34.0	39.0	11349.0
wound	wound_vrb	The company soon wound up and made no more movies.	17.0	22.0	11369.0
wound	wound_vrb	Despite the way he entered the league, Streater wound up finishing fourth on the team with 584 receiving yards.	48.0	53.0	11362.0
wound	wound_nou-vrb	He sustains a million-dollar wound during combat and is sent home.	29.0	34.0	11415.0
wound	wound_vrb	The Federal Court ordered on 23 May 2007 that Macquarie University Union Ltd be wound up.	80.0	85.0	11389.0
wound	wound_nou-vrb	Chronic wound pain is present for six months or more and occurs without any manipulation of the wound.	8.0	13.0	11397.0
wound	wound_nou-vrb	It was at a temple of Demeter Thesmophoros in Paros that Miltiades received the wound from which he died.	80.0	85.0	11374.0
wound	wound_nou-vrb	GAE is caused by the amoeba entering the body through an open wound then spreading to the brain.	62.0	67.0	11377.0
wound	wound_nou-vrb	It is always present on the fruitset, however, it requires a wound to start a bunch rot infection.	61.0	66.0	11424.0
wound	wound_vrb	But the the interesting thing is that paint we wound up having to go back and scrape some of that away			
wound	wound_vrb	In it, he states that the operation was wound up successfully, its purpose accomplished.	40.0	45.0	11400.0
wound	wound_nou-vrb	That's the poisoned and mortal wound of the civilized world.	31.0	36.0	11411.0
wound	wound_nou-vrb	His temple had a gunshot wound from a 9mm pistol, suggesting that his death was an apparent suicide.	25.0	30.0	11391.0
wound	wound_nou-vrb	Brunhilde licks his wound when he picks her up and the wound heals almost instantly, much to his surprise.	20.0	25.0	11429.0
wound	wound_nou-vrb	This means that additional drugs and procedures (including wound suturing) can be accomplished by an appropriately trained EMT-III.	59.0	64.0	11403.0
wound	wound_vrb	Dimarzio also wires a custom wound single coil pickup for Music Man to use into the SM signture model.	29.0	34.0	11434.0
wound	wound_nou-vrb	On 21 August 1917 he received a serious leg wound during an attack on Canal Wood south of Cambrai.	44.0	49.0	12705.0
wound	wound_nou-vrb	Ballew survived his head wound but suffered brain damage.	25.0	30.0	11409.0
wound	wound_nou-vrb	Jun turns into Ultraman Nexus again, but is still in pain from the wound Galberos left on his arm.	67.0	72.0	11422.0
wound	wound_nou-vrb	She suffered a head wound which was stitched up at the hospital.	20.0	25.0	11366.0
wound	wound_vrb	But course it s one of these with a twist where it looks like he s the one that wound up killing her			
wound	wound_nou-vrb	The wound also prevented his personal involvement in quelling the last vestiges of the anti-Tokugawa faction in the coming months.	4.0	9.0	11405.0
wound	wound_nou-vrb	John and Caroline trying to help someone who got hurt during explosion by pressing something on his wound.	100.0	105.0	11417.0
wound	wound_vrb	Although the company was mismanaged and financially insecure, Sloan saw that the spirally-wound flexible roller bearing product had real potential.	90.0	95.0	11412.0
wound	wound_vrb	The trawl is a sort of big fishing net that is wound on the windlass.	47.0	52.0	11379.0
wound	wound_nou-vrb	The two hide in a nearby cell, where Billy dies from a chest wound.	61.0	66.0	11351.0
wound	wound_vrb	And so it kind of wound down			
wound	wound_vrb	"Gabor eventually wound up playing Minerva in the 1968 series Batfinale, ""Minerva, Mayhem and Millionaires""."	17.0	22.0	11431.0
wound	wound_vrb	Wound up in administration			
wound	wound_vrb	The organ was so large (and expensive), in fact, that it wound up causing Harris significant financial trouble.	57.0	62.0	11423.0
wound	wound_nou-vrb	His escort hurriedly entered the room and found him bleeding from a wound to the right side of his head.	68.0	73.0	11413.0
wound	wound_nou-vrb	His hand appears to be pointing towards Venus, possibly at the wound in her chest.	63.0	68.0	11373.0
wound	wound_vrb	Kotche wound up joining Wilco because of Jim O'Rourke, who originally caught him playing a show with Edith Frost.	7.0	12.0	11420.0
wound	wound_nou-vrb	Fresh or dried root chewed by medicine man before sucking snakebite and poultice applied to wound.	92.0	97.0	11426.0
wound	wound_vrb	It is a weakly barred spiral galaxy with loosely wound arms.	49.0	54.0	11388.0
wound	wound_nou-vrb	This gene is also implicated to be a primary factor in the process of wound healing.	70.0	75.0	11421.0
wound	wound_vrb	In an unknown transaction, Causey wound up with the Philadelphia Phillies for the 1920 season.	34.0	39.0	11418.0
wound	wound_vrb	The coil is wound around the permanent magnet to form a solenoid.	12.0	17.0	11435.0
wound	wound_vrb	In 1994 the society was wound up.	24.0	29.0	11407.0
wound	wound_nou-vrb	Susan removes her weight belt and uses it to apply pressure to Daniel's wound.	72.0	77.0	11357.0
