homograph,simalign_fr,fr-label,en_sent,fr_sent
affiliate,rattacher,affiliate_vrb,"I also appreciate your idea that if an independent unit of this kind is to be responsible for all the institutions without becoming a new institution itself , you need an existing institution to which you can affiliate OLAF . "," Je comprends également votre raisonnement selon lequel , si une telle unité indépendante doit être compétente pour toutes les institutions , sans devenir elle-même une nouvelle institution , vous vous voyez dans l' obligation de trouver une institution existante à laquelle rattacher l' OLAF . "
alternate,alternativement,alternate_vrb,"Pakistan is an important country in the region but , unfortunately , its Government appears to alternate between corrupt regimes and military juntas . "," Le Pakistan est un pays important dans cette région , mais il est , hélas , gouverné alternativement par des régimes corrompus et des juntes militaires . "
alternate,alterne,alternate_vrb,"Throughout his or her life , the individual must alternate between work and training , moving from one to the other without any unwanted break . "," Il s' agit que , sa vie durant , l' individu alterne activité et formation , en passant de l' un à l' autre sans rupture non désirée . "
alternate,alternent,alternate_vrb,"All year round , parched dry days alternate with days of torrential rain . "," Tout au long de l' année , les journées de grande sécheresse alternent avec les journées de pluies torrentielles . "
alternate,alternera,alternate_vrb,"Her very physical location - which will alternate between the benches of the Council , here , and the Commission - exemplifies her wish to wear two hats . "," Sa position physique - qui alternera entre les bancs du Conseil , ici , et ceux de la Commission - illustre son désir de coiffer les deux casquettes . "
alternate,alternerai,alternate_vrb,I shall alternate speeches according to the groups of the speakers ., J’ alternerai les interventions en fonction du groupe des différents orateurs . 
alternate,alternons,alternate_vrb,We alternate between cooperation and confrontation with Russia ., Nous alternons entre coopération et confrontation avec la Russie . 
alternate,oscillent,alternate_vrb,"The place of the state has been taken by a number of warlords , who alternate between fighting and cooperating with each other . "," À l' État se sont substitués divers seigneurs de guerre , qui oscillent sans cesse entre lutte armée et collaboration . "
attribute,attribut,attribute_nou,"Madam President , ladies and gentlemen , now that the hardline right- and left wingers have paid tribute to each other - you obviously have to be hardline to be a member of the Committee on Civil Liberties and Internal Affairs and I am very glad to be a member of the Committee on Institutional Affairs and able to do without this attribute , which I find very dubious - I would merely like to remind the members of the Committee on Internal Affairs that they are also members of the Committee on Civil Liberties , which is something which is frequently forgotten . "," Madame le Président , Mesdames et Messieurs , maintenant que les purs et durs de droite comme de gauche se sont mutuellement rendus les honneurs - il faut visiblement être pur et dur pour faire partie de la commission des libertés publiques et des affaires intérieures - , je suis heureux , en tant que membre de la commission institutionnelle , de pouvoir renoncer à cet attribut qui me paraît douteux . Je voudrais juste rappeler aux membres de la commission des affaires intérieures qu' ils sont également membres de la commission des libertés publiques , une chose qu' ils semblent fréquemment oublier . "
bass,bar,bass_corp,"I shall mention , by way of example , those experiments aiming to adapt fishing vessels and gear so that they may be used to collect marine debris or oil spills or even the creation of artificial reefs to facilitate the development of breeding or rest areas for maritime fauna , or even artificial fertilisation techniques in the open sea for sea bass . "," Je citerai , à titre d' exemple , celles visant à adapter des navires et des engins de pêche pour recueillir des macrodéchets ou des nappes d' hydrocarbure ou encore l' aménagement de récifs artificiels en vue de faciliter le développement de zones de reproduction et de repos pour la faune maritime , ou bien encore des techniques de fécondation assistée en pleine mer pour le bar . "
bass,bars,bass_corp,Amendments Nos 3 - 5 : the purpose of these amendments is to increase the newly proposed tariff quota for sea bream and sea bass from 100 tonnes to 200 tonnes ., Amendements 3 à 5 : Ces amendements visent une augmentation de 100 à 200 tonnes du nouveau contingent tarifaire pour les dorades et les bars . 
bass,daurade,bass_corp,Therefore the REX Committee is proposing to the Commission and the Council to extend the Community quota for sea bass and sea bream .," Pour toutes ces raisons , la commission REX propose à la Commission et au Conseil l' augmentation du contingent tarifaire communautaire pour la daurade et le loup de mer . "
bass,dorade,bass_corp,"Furthermore , demand for sea bass and sea bream is rising in the Union and a doubling of the quota , as I have indicated , would thus be a good thing from that point of view as well . "," De plus , la dorade et le bar bénéficient d' une demande croissante dans l' Union et cet aspect pourrait donc , lui aussi , justifier le doublement du contingent , comme je l' ai déjà proposé . "
bass,dorades,bass_corp,"The Commission 's proposal for a new tariff quota for certain fish species merits support , but more desirable still , in all honesty , is a doubling of the quota for sea bass and sea bream , as the rapporteur proposes . "," La proposition de la Commission concernant la fixation d' un nouveau contingent tarifaire pour diverses sortes de poissons mérite d' être soutenue , mais à vrai dire , le doublement du contingent pour les dorades et les bars , tel que le rapporteur l' a proposé , est encore plus souhaitable . "
bass,loups,bass_corp,"The rapporteur has found a worthy solution to this problem within the framework defined by the proposal for a Council regulation , increasing the quota for fresh or frozen sea bass and sea bream . "," Dans son rapport , M. Valdivielso de Cué a fourni une digne issue pour ce problème dans le cadre défini par la proposition de règlement du Conseil , en augmentant le contingent tarifaire destiné aux loups de mer ou aux daurades frais ou réfrigérés . "
blessed,bénis,blessed_adj,"Among the blessed , he mentions Ryanair , now the most profitable airline in Europe , more profitable as a percentage of turnover than the giant BA . "," Parmi les bénis , il cite Ryanair , qui constitue aujourd'hui la compagnie aérienne la plus rentable en Europe , encore plus rentable que le géant British Airways , si l' on compare proportionnellement les chiffres d' affaires . "
blessed,douce,blessed_adj,"I would like to know if there is any indication that markets themselves are responding to what is an increasing number of single people perhaps just looking for ' the blessed peace of the single bed ' , to quote George Bernard Shaw . "," Je voudrais savoir s' il existe un quelconque indice montrant que les marchés se soucient de répondre à l' attente d' un nombre croissant de personnes voyageant seules , qui recherchent peut-être simplement ce que Bernard Shaw appelait la douce quiétude d' un lit à une place . "
blessed,heureuse,blessed_adj,"Reflecting , as it does , a pathetic , exclusively pro - European way of thinking , this text contains everything that is responsible for Europeans ' growing hostility to your system : the little piece , written in a roundabout way , about the unemployed being responsible for their unemployment - ' poor swines ' as Gabin said in La Traversée de Paris - that about the benefits of immigration , which come at the cost of plundering of elites in the developing world and of pressure on wages in Europe ; that about the necessary reform of our social protection system ' in the light of the development of global dynamics ' , which obviously means that they are doomed ; the little piece about random acts of discrimination , when the most scandalous discrimination is directed at Europeans , on their own soil ; that about growth , with no mention ever being made of purchasing power and consumption , of the explosion in the number of poor workers or of the responsibilities of the euro ; and , finally , that about ' blessed globalisation ' , which is an oxymoron . "," Dans ce texte , reflet d' une affligeante pensée européiste unique , on retrouve tout ce qui motive l' hostilité croissante des Européens à votre système : le couplet , à mots couverts , sur les chômeurs responsables de leur non-emploi - "" salauds de pauvres "" disait Gabin dans "" la Traversée de Paris "" -,celui sur l' immigration bienfaisante , au prix du pillage des élites du tiers monde et de pressions sur les salaires en Europe ; celui de la nécessaire réforme de notre protection sociale "" à la lumière de l' évolution des dynamiques mondiales "" , ce qui les condamne évidemment à la disparition ; le couplet sur les discriminations à raison de n' importe quoi , quand les plus scandaleuses discriminations s' exercent à l' encontre des Européens , chez eux ; celui sur la croissance , sans jamais parler de pouvoir d' achat et de consommation , de l' explosion du nombre de travailleurs pauvres et des responsabilités de l' euro ; celui , enfin de la "" mondialisation heureuse "" , qui est une oxymore . "
bow,courber,bow_nou-ship,"The Swiss are a free and independent people , and Europe would do better to follow their example than to bow the knee to the intellectual terrorism of the immigration lobby . "," La Suisse est un peuple libre et indépendant , et l’ Europe ferait mieux de suivre son exemple plutôt que de courber l’ échine devant le terrorisme intellectuel du lobby de l’ immigration . "
bow,incliner,bow_nou-ship,"We must bow our heads in respect and gratitude to those heroes who are working , at the risk of their own lives , to stabilise the situation in the nuclear reactor . "," Nous devons nous incliner avec respect et gratitude devant ces héros qui travaillent , au risque de leur vie , pour stabiliser la situation dans le réacteur nucléaire . "
